prog_id,cache_references,cache_misses,miss_rate,wall_time_s,status
0,127402,4465,0.035047,0.0549,ok
1,33706766,126737,0.00376,0.5494,ok
2,15465607,22563,0.001459,0.2693,ok
3,3416269,48044,0.014063,0.0871,ok
4,33576079,111499,0.003321,0.5997,ok
5,11005592,22339,0.00203,0.312,ok
6,334639652,2195133,0.00656,6.2854,ok
7,1087233,3181,0.002926,0.0541,ok
8,3394425,25803,0.007602,0.0697,ok
9,537358,7221,0.013438,0.0532,ok
10,41726,3593,0.086109,0.0533,ok
11,1123310,6209,0.005527,0.0745,ok
12,334166909,2001635,0.00599,6.049,ok
13,50879403,293254,0.005764,1.3127,ok
14,155842009,332389,0.002133,2.3217,ok
15,49516,4560,0.092091,0.052,ok
16,1114949,6758,0.006061,0.0852,ok
17,60498,4792,0.079209,0.0328,ok
18,154654719,407759,0.002637,2.5713,ok
19,582759,8981,0.015411,0.0398,ok
20,3404263,30264,0.00889,0.1787,ok
21,16375944,29267,0.001787,0.2757,ok
22,494249,6156,0.012455,0.0844,ok
23,15810394,28071,0.001775,0.2442,ok
24,20739,6956,0.335407,0.1523,ok
25,590491,5978,0.010124,0.1672,ok
26,33420194,86468,0.002587,0.6086,ok
27,11407,3531,0.309547,0.1189,ok
28,3339090,15337,0.004593,0.1026,ok
29,3343489,14618,0.004372,0.0896,ok
30,1070342,5094,0.004759,0.0564,ok
31,1496208058,7922071,0.005295,26.7571,ok
32,450833,4994,0.011077,0.0387,ok
33,10879897,27422,0.00252,0.4208,ok
34,10915551,21553,0.001975,0.3754,ok
35,10844956,23163,0.002136,0.4141,ok
36,16027344,21230,0.001325,0.2511,ok
37,3344358,26520,0.00793,0.0734,ok
38,1506189865,8746944,0.005807,27.966,ok
39,64273,4804,0.074744,0.0442,ok
40,4886240,66190,0.013546,0.1819,ok
41,334158530,2168196,0.006489,6.176,ok
42,334733482,2144898,0.006408,6.2248,ok
43,10731253,17076,0.001591,0.3928,ok
44,5928289,52585,0.00887,0.1716,ok
45,1515358508,8542704,0.005637,27.9052,ok
46,12484,4392,0.35181,0.0192,ok
47,6068846,52440,0.008641,0.1677,ok
48,10929,3793,0.347058,0.0178,ok
49,157146198,382022,0.002431,2.5397,ok
50,52218630,359968,0.006893,1.7743,ok
51,33155373,196590,0.005929,0.623,ok
52,21791,7616,0.349502,0.0383,ok
53,31828,4946,0.155398,0.0387,ok
54,15639456,57879,0.003701,0.2767,ok
55,1508875062,9322512,0.006178,29.0647,ok
56,53392416,473346,0.008865,1.8765,ok
57,3333616,23390,0.007016,0.1583,ok
58,1079201,8295,0.007686,0.0867,ok
59,1493439077,8690585,0.005819,28.3819,ok
60,5795898,52285,0.009021,0.1931,ok
61,154222325,385804,0.002502,2.4893,ok
62,33326257,210156,0.006306,0.6424,ok
63,15306,4635,0.302822,0.0298,ok
64,1075104,6211,0.005777,0.0583,ok
65,15308,4439,0.289979,0.0351,ok
66,16485,3710,0.225053,0.0374,ok
67,16923,3660,0.216274,0.0273,ok
68,56617886,468076,0.008267,1.6119,ok
69,52626330,326173,0.006198,1.4798,ok
70,153900345,390886,0.00254,2.6436,ok
71,334045505,2553299,0.007644,6.4716,ok
72,461892,11314,0.024495,0.1352,ok
73,21301,4248,0.199427,0.0391,ok
74,118100,5175,0.043819,0.0353,ok
75,20343,6002,0.29504,0.0475,ok
76,560526,8894,0.015867,0.0445,ok
77,157099877,502425,0.003198,2.9886,ok
78,15527471,30390,0.001957,0.2665,ok
79,5619645,43338,0.007712,0.1725,ok
80,68900,4856,0.070479,0.0284,ok
81,53049064,420345,0.007924,1.6672,ok
82,11425,4214,0.36884,0.0165,ok
83,610462,13161,0.021559,0.0392,ok
84,60901,4714,0.077404,0.04,ok
85,1077150,7260,0.00674,0.0678,ok
86,1096116,7284,0.006645,0.0713,ok
87,1079030,6825,0.006325,0.0557,ok
88,3304268,29015,0.008781,0.0823,ok
